900250.468438116;	cycle,it,executionDll, simulationDll, executionTrainLl, simulationTrainLl,realTrainLl, executionValidLl, realValidLl, executionTestLl, realTestLl
900250.4686706661;	0.0,0.0,0.0,0.0,-568603.2086157504,-568603.2086157504,-568603.2086157504,-113362.7660773524,-113362.7660773524,0.0,0.0
902379.0203448541;	0.0,1.0,592.9479401765129,592.9479401765129,-568010.2606755738,-568010.2606755738,-568010.2606755738,-113273.3088721176,-113273.3088721176,0.0,0.0
902394.787724577;	0.0,2.0,2018.5444278608065,2018.5444278608047,-565991.716247713,-565991.716247713,-565991.716247713,-112831.04645458137,-112831.04645458137,0.0,0.0
902476.382636334;	0.0,3.0,1233.6521654409644,1233.6521654409644,-564758.064082272,-564758.064082272,-564758.064082272,-112552.07103803987,-112552.07103803987,0.0,0.0
903217.239345495;	0.0,4.0,1376.055760858826,1376.055760858826,-563382.0083214132,-563382.0083214132,-563382.0083214132,-112248.14500654716,-112248.14500654716,0.0,0.0
903918.95384609;	0.0,5.0,2040.6252389256842,2040.6252389256842,-561341.3830824873,-561341.3830824873,-561341.3830824873,-111823.7404352694,-111823.7404352694,0.0,0.0
905596.742322694;	0.0,6.0,3035.028426611396,3035.028426611396,-558306.3546558758,-558306.3546558758,-558306.3546558758,-111244.7828241864,-111244.7828241864,0.0,0.0
906888.551349233;	0.0,7.0,2595.653233088753,2595.653233088753,-555710.701422787,-555710.701422787,-555710.701422787,-110705.84953985107,-110705.84953985107,0.0,0.0
908658.154266122;	0.0,8.0,676.3215403980435,676.3215403980435,-555034.3798823889,-555034.3798823889,-555034.3798823889,-110570.29468480483,-110570.29468480483,0.0,0.0
910199.248065794;	0.0,9.0,751.8312379326067,751.8312379326067,-554282.5486444563,-554282.5486444563,-554282.5486444563,-110420.6721247089,-110420.6721247089,0.0,0.0
911660.3752115461;	0.0,10.0,2017.6567625346975,2017.6567625346977,-552264.8918819217,-552264.8918819217,-552264.8918819217,-109982.39618114465,-109982.39618114465,0.0,0.0
912748.8741000241;	0.0,11.0,885.0415060668552,885.0415060668552,-551379.8503758548,-551379.8503758548,-551379.8503758548,-109817.41229207824,-109817.41229207824,0.0,0.0
912891.2921316881;	0.0,12.0,774.82954264534,774.82954264534,-550605.0208332094,-550605.0208332094,-550605.0208332094,-109661.5848640958,-109661.5848640958,0.0,0.0
913024.4376954681;	0.0,13.0,1581.5575910916778,1581.5575910916796,-549023.4632421175,-549023.4632421175,-549023.4632421175,-109321.88657186012,-109321.88657186012,0.0,0.0
917453.4117396311;	0.0,14.0,1655.3699902730332,1655.3699902730332,-547368.0932518446,-547368.0932518446,-547368.0932518446,-108958.2118524583,-108958.2118524583,0.0,0.0
921698.4783615001;	0.0,15.0,1542.950325900757,1542.950325900757,-545825.142925944,-545825.142925944,-545825.142925944,-108647.19676332187,-108647.19676332187,0.0,0.0
924968.406355232;	0.0,16.0,995.4860065646242,995.4860065646242,-544829.6569193793,-544829.6569193793,-544829.6569193793,-108447.30711412386,-108447.30711412386,0.0,0.0
925257.4231569871;	0.0,17.0,351.44773477010926,351.44773477010926,-544478.209184609,-544478.209184609,-544478.209184609,-108372.86329045733,-108372.86329045733,0.0,0.0
925274.161295027;	0.0,18.0,593.6096930980952,593.6096930980952,-543884.5994915109,-543884.5994915109,-543884.5994915109,-108251.56832536949,-108251.56832536949,0.0,0.0
925337.7311593341;	0.0,19.0,1463.6106305863673,1463.6106305863673,-542420.9888609244,-542420.9888609244,-542420.9888609244,-107974.75182977952,-107974.75182977952,0.0,0.0
929229.183173962;	0.0,20.0,641.3017603918231,641.3017603918231,-541779.6871005327,-541779.6871005327,-541779.6871005327,-107841.37096326557,-107841.37096326557,0.0,0.0
929410.994976497;	0.0,21.0,520.6604062000479,520.6604062000479,-541259.0266943326,-541259.0266943326,-541259.0266943326,-107734.76228098586,-107734.76228098586,0.0,0.0
929423.0129594861;	0.0,22.0,382.8065234222591,382.8065234222591,-540876.2201709104,-540876.2201709104,-540876.2201709104,-107671.88290821965,-107671.88290821965,0.0,0.0
929721.351200651;	0.0,23.0,1225.4435309946289,1225.4435309946289,-539650.7766399158,-539650.7766399158,-539650.7766399158,-107438.97425679996,-107438.97425679996,0.0,0.0
933588.3396358291;	0.0,24.0,3041.7706036482796,3041.770603648279,-536609.0060362675,-536609.0060362675,-536609.0060362675,-106837.16398449398,-106837.16398449398,0.0,0.0
933803.528855841;	0.0,25.0,911.1029886467669,911.1029886467668,-535697.9030476207,-535697.9030476207,-535697.9030476207,-106668.78663911876,-106668.78663911876,0.0,0.0
933994.1791650881;	0.0,26.0,1482.6088944601747,1482.608894460173,-534215.2941531605,-534215.2941531605,-534215.2941531605,-106375.70086229981,-106375.70086229981,0.0,0.0
938763.64767552;	0.0,27.0,251.58972716739618,251.589727167398,-533963.704425993,-533963.704425993,-533963.704425993,-106327.25760155566,-106327.25760155566,0.0,0.0
943166.290049865;	0.0,28.0,1279.0942888154832,1279.0942888154832,-532684.6101371775,-532684.6101371775,-532684.6101371775,-106073.66742244852,-106073.66742244852,0.0,0.0
